time,std
0,6.0686758754997635e-05
1,2.7335250109617564e-06
2,3.0331894110176185e-06
3,1.5934006253069195e-06
4,2.595587557926614e-06
5,1.387300889799933e-06
6,2.5021825302966147e-06
7,1.3433498384930563e-06
8,2.4456036158056296e-06
9,1.433392092851492e-06
10,2.263161176247306e-06
11,1.7475633764259353e-06
12,1.7838106173238777e-06
13,2.4149157617227697e-06
14,9.76065890378843e-07
15,2.806665832906217e-06
16,1.908641027913618e-07
17,6.496500419890024e-08
18,3.5610849784240977e-07
19,3.6677372251304754e-07
20,2.9837750478204366e-07
21,5.40125687818278e-07
22,1.3058585264743548e-07
23,1.8867657552493552e-07
24,6.101127979359287e-08
25,1.0073125284714326e-07
26,2.562502994400747e-08
27,4.002652304563706e-08
28,1.0947055655612289e-08
29,1.768014044890695e-08
30,4.569381850815839e-09
31,7.304478811595606e-09
32,1.910762620782255e-09
33,3.081816019548487e-09
34,7.944121124290148e-10
35,1.280440903155333e-09
36,3.30200451665056e-10
37,5.338499010875278e-10
38,1.3706198379835477e-10
39,2.2179471700055687e-10
40,5.68927818418e-11
41,9.220173262815e-11
42,2.3614648256421516e-11
43,3.830605231241667e-11
44,9.805297358812723e-12
45,1.5920168786934313e-11
46,4.073099275053286e-12
47,6.618436120942434e-12
48,1.6929096242819564e-12
49,2.7529169672679614e-12
50,7.040788592498296e-13
51,1.1460369063993993e-12
52,2.92956586660983e-13
53,4.770603110673201e-13
54,1.220951038724323e-13
55,1.9891691909450473e-13
56,5.107095992061899e-14
57,8.324083586051746e-14
58,2.1409061053500987e-14
59,3.5043288157580894e-14
60,9.251046642590814e-15
61,1.6236100485411217e-14
62,4.369080133759118e-15
63,8.020653173544067e-15
64,2.7339118680850874e-15
65,6.282137772788533e-15
66,2.3926189361162757e-15
67,5.434294496043661e-15
68,2.373061829993766e-15
69,5.763409760855938e-15
70,2.257036123710849e-15
71,6.1141219662108704e-15
72,2.2205148314585034e-15
73,5.664855483075782e-15
74,2.190757507327354e-15
75,5.695059347244728e-15
76,2.171995152352643e-15
77,5.750270696073623e-15
78,2.197959154303179e-15
79,5.238673219724196e-15
80,2.198156823897583e-15
81,5.796935481779809e-15
82,2.198252315047966e-15
83,5.990436927452484e-15
84,2.215999485106484e-15
85,5.598340410803023e-15
86,2.2220583130907385e-15
87,5.315966384176699e-15
88,2.1807719722544554e-15
89,5.759950948233478e-15
90,2.200984761703846e-15
91,6.051824162040973e-15
92,2.1757364304711057e-15
93,5.652886547227816e-15
94,2.2107030219998082e-15
95,5.648976505835212e-15
96,2.2107997578816406e-15
97,6.052958847911028e-15
98,2.2133376263709383e-15
99,5.3526238932671336e-15
100,2.2012274902463673e-15
101,5.6469996856971335e-15
102,2.202098546125401e-15
103,6.168902994047857e-15
104,2.2015183682012502e-15
105,5.727891281307143e-15
106,2.1962288613889876e-15
107,5.662573840068643e-15
108,2.1897615182718002e-15
109,5.404933061175167e-15
110,2.2128621942954417e-15
111,5.49340996117757e-15
112,2.1716833769438495e-15
113,5.585320596362822e-15
114,2.1888706010982453e-15
115,6.009377690302127e-15
116,2.1626291220408356e-15
117,5.465961991754041e-15
118,2.1910068201578316e-15
119,5.607798869143706e-15
120,2.2006414095604518e-15
121,6.2311893917348916e-15
122,2.238053654968255e-15
123,6.0688261412791154e-15
124,2.226396913142833e-15
125,5.453513518174949e-15
126,2.1956071478579475e-15
127,5.539829700241148e-15
128,2.2306492901877242e-15
129,5.651191214531171e-15
130,2.193748162926911e-15
131,5.419163869516831e-15
132,2.19864116761968e-15
133,6.1617138698368e-15
134,2.1862639823525053e-15
135,5.789171143076031e-15
136,2.2213110930086654e-15
137,5.923386394685702e-15
138,2.208767925599535e-15
139,5.7484491222893926e-15
140,2.2284034925129348e-15
141,5.67201219983819e-15
142,2.251811866361074e-15
143,5.530145069403664e-15
144,2.235886306604385e-15
145,5.865247000554857e-15
146,2.1949899176766222e-15
147,5.515386536162628e-15
148,2.2087795068304165e-15
149,5.948485350654304e-15
150,2.192860666708575e-15
151,5.922643561048352e-15
152,2.2307472690366e-15
153,5.77783478496893e-15
154,2.2053326023297356e-15
155,5.556745313080581e-15
156,2.1922663434384036e-15
157,5.916230587654403e-15
158,2.239698992352308e-15
159,5.8825467700872235e-15
160,2.24556900718985e-15
161,5.9186788511787566e-15
162,2.2331832989906315e-15
163,5.314691339900034e-15
164,2.235301992563112e-15
165,5.492387617154743e-15
166,2.2245567038339182e-15
167,5.7105888585985616e-15
168,2.2111159704532703e-15
169,5.64844160715536e-15
170,2.2554742982004662e-15
171,5.630549792207403e-15
172,2.1739869363273096e-15
173,5.620676665038366e-15
174,2.233917317826275e-15
