time,std
0,0.060234196772192876
1,0.003360400662971584
2,0.0037928429578243006
3,0.002225034253520751
4,0.003408449318002806
5,0.0019263651661288175
6,0.0033230275810991706
7,0.0018495025765045638
8,0.0031104054470721286
9,0.0020994669490696015
10,0.0023821159908614625
11,0.0030281646245724153
12,0.0010991828494553817
13,0.003568600261128511
14,5.689395103252395e-05
15,0.0026117364818685294
16,0.0013708364454456234
17,0.0037658599485429823
18,6.74090602959511e-05
19,0.001172303853415726
20,0.0005073228666914041
21,0.0010622367185279006
22,0.00017114329575020504
23,0.0003330649998151983
24,0.00028369193569569836
25,0.0006132350484063846
26,7.861540530939312e-05
27,0.00011585475365449761
28,0.00011232966606116496
29,0.00025068695141173343
30,2.8479446076672277e-05
31,3.233520492686884e-05
32,3.591892069076448e-05
33,8.119854454892538e-05
34,8.687475945225934e-06
35,8.105481103300678e-06
36,1.0083205316148048e-05
37,2.2900762885468618e-05
38,2.3858275436810295e-06
39,1.988210263860192e-06
40,2.652239970139536e-06
41,6.035015519663645e-06
42,6.219691371076074e-07
43,4.911064287700532e-07
44,6.784303338918291e-07
45,1.5452422339626502e-06
46,1.586224159683419e-07
47,1.2244987933280324e-07
48,1.71776057055912e-07
49,3.915067376566908e-07
50,4.0140469027953247e-08
51,3.072206900479021e-08
52,4.337139159951826e-08
53,9.890035981470048e-08
54,1.0138176249055605e-08
55,7.73655153554996e-09
56,1.095025634828096e-08
57,2.4980082879640164e-08
58,2.5610644274241967e-09
59,1.9527082593891826e-09
60,2.7401384086518587e-09
61,6.3827414695855e-09
62,6.488620284983765e-10
63,5.338650330427131e-10
64,6.93076813489136e-10
65,1.6148570897556775e-09
66,1.6420246838830982e-10
67,1.3511551909689862e-10
68,1.754669442481372e-10
69,4.089271867411135e-10
70,4.158920644409569e-11
71,3.422738380697029e-11
72,4.445922442528788e-11
73,1.0363137756585242e-10
74,1.0541587071220301e-11
75,8.677201727597598e-12
76,1.1272944483934634e-11
77,2.6280966345703665e-11
78,2.673657719612936e-12
79,2.201254300159194e-12
80,2.8599418121203765e-12
81,6.668527667841349e-12
82,6.785285697897358e-13
83,5.588210252395591e-13
84,7.260809496141338e-13
85,1.693358523476573e-12
86,1.7242644546920407e-13
87,1.423395217312669e-13
88,1.8473144603560705e-13
89,4.3028582250401546e-13
90,4.395170486557402e-14
91,3.797481671452441e-14
92,4.7454868167168275e-14
93,1.1083338274998357e-13
94,1.1258062683525403e-14
95,1.5540224367423806e-14
96,1.350901375056922e-14
97,3.0800973620808194e-14
98,3.1814820486174655e-15
99,1.3606429065902436e-14
100,5.3879856554473325e-15
101,1.0939439569631182e-14
102,1.3323169360234075e-15
103,1.2868233301847724e-14
104,4.8499299912956026e-15
105,8.941553296665293e-15
106,1.3181193220266246e-15
107,1.2902449727479277e-14
108,5.377686535469781e-15
109,1.0288755796473132e-14
110,1.2411838453717309e-15
111,1.3169702311620089e-14
112,4.869391907322873e-15
113,8.791071884852608e-15
114,1.3466642615106928e-15
115,1.2846743603230855e-14
116,5.243327783649661e-15
117,9.889330907951137e-15
118,1.2526013760616486e-15
119,1.3110733200092141e-14
120,4.8868058911541266e-15
121,8.907146970226202e-15
122,1.357671203004693e-15
123,1.3130697238314104e-14
124,5.471410508309839e-15
125,1.0681509073517224e-14
126,1.2042836448221391e-15
127,1.3407821519294835e-14
128,4.7452311004142125e-15
129,8.654238832104031e-15
130,1.2674953945621686e-15
131,1.3008070794268592e-14
132,5.1598149097742726e-15
133,9.113419690114463e-15
134,1.43333086759356e-15
135,1.3064166177785287e-14
136,5.63324355783844e-15
137,1.1682084867784051e-14
138,1.204538354991607e-15
139,1.3536198380649822e-14
140,4.63909161444165e-15
141,8.687273940464595e-15
142,1.212949295025518e-15
143,1.355157283200773e-14
144,5.0560498048240854e-15
