time,std
0,0.059542355838762336
1,0.003401297674049019
2,0.0021973557813238366
3,0.0016640628086990118
4,0.001330227619994521
5,0.001110386691690847
6,0.0009310707002679993
7,0.0008012556159463359
8,0.0006910879840954402
9,0.0006042762220855125
10,0.0005245422909966095
11,0.0004630376075557126
12,0.00040571798365662246
13,0.00036068431966256823
14,0.00031836647988868586
15,0.00028449200842481023
16,0.00025256158466549576
17,0.0002267159396553891
18,0.00020231894287856344
19,0.0001822438938685409
20,0.00016331990524503433
21,0.00014758946670078097
22,0.0001327403026787732
23,0.00012025654584435063
24,0.00010852800749075429
25,9.860759250880111e-05
26,8.92019955449997e-05
27,8.118561059936937e-05
28,7.361903006665116e-05
29,6.713686397994e-05
30,6.097679829708415e-05
31,5.571247416837149e-05
32,5.064625696912897e-05
33,4.6324280703344174e-05
34,4.2281985979585796e-05
35,3.8671879392945395e-05
36,3.530196871082529e-05
37,3.227688276069945e-05
38,2.9682262743331176e-05
39,2.726628788388262e-05
40,2.4909889948873104e-05
41,2.2705092284478653e-05
42,2.089534885631376e-05
43,1.924366011170145e-05
44,1.7643290728947078e-05
45,1.632982155185556e-05
46,1.500453320791593e-05
47,1.3651064086071765e-05
48,1.2769163643999463e-05
49,1.192639535580452e-05
50,1.0741003666325752e-05
51,9.915442955591519e-06
52,9.353957311505692e-06
53,8.577957176145711e-06
54,7.770263061255274e-06
55,7.092246422035958e-06
56,6.979144211234088e-06
57,6.536289243055354e-06
58,6.408679783398536e-06
59,5.617143141682204e-06
60,5.7050143839587e-06
61,4.809798232383766e-06
62,4.586177012589556e-06
63,4.4762229354605965e-06
64,3.561451635148355e-06
65,4.230065344221553e-06
66,2.5055837545904043e-06
67,4.8712650243234264e-06
68,3.3203935803221097e-06
69,2.2205138149881785e-16
70,4.567047336831125e-06
71,4.43380464016894e-06
72,3.670446558365012e-06
73,2.2205138149881785e-16
74,2.2205138149881785e-16
75,2.2205138149881785e-16
76,4.83371757363848e-06
77,1.2426152218950947e-06
78,4.646767095928975e-06
79,0.0
80,2.2205138149881785e-16
81,2.2205138149881785e-16
82,2.2205138149881785e-16
83,4.441027629976357e-16
84,7.014061805907528e-07
85,1.4296694063380263e-06
86,0.0
87,8.632160274491709e-07
88,2.2205138149881785e-16
89,4.441027629976357e-16
90,0.0
91,4.938254669238367e-06
92,3.4827479137479595e-06
93,4.441027629976357e-16
94,4.8178278706548e-06
95,0.0
96,4.441027629976357e-16
97,0.0
98,0.0
99,2.2205138149881785e-16
100,0.0
101,2.2205138149881785e-16
102,4.441027629976357e-16
103,0.0
104,2.2205138149881785e-16
105,2.2205138149881785e-16
106,0.0
107,2.2205138149881785e-16
108,0.0
109,2.2205138149881785e-16
110,2.2205138149881785e-16
111,0.0
112,2.2205138149881785e-16
113,0.0
114,2.2205138149881785e-16
115,0.0
116,2.2205138149881785e-16
117,2.2205138149881785e-16
118,2.2205138149881785e-16
119,2.2205138149881785e-16
120,0.0
121,4.441027629976357e-16
122,0.0
123,4.441027629976357e-16
124,0.0
125,2.2205138149881785e-16
126,2.2205138149881785e-16
127,2.2205138149881785e-16
128,2.2205138149881785e-16
129,2.2205138149881785e-16
130,2.2205138149881785e-16
131,2.2205138149881785e-16
132,2.2205138149881785e-16
133,0.0
134,2.2205138149881785e-16
135,0.0
136,2.2205138149881785e-16
137,0.0
138,2.2205138149881785e-16
139,0.0
140,2.2205138149881785e-16
141,0.0
142,2.2205138149881785e-16
143,0.0
144,2.2205138149881785e-16
145,0.0
146,2.2205138149881785e-16
147,0.0
148,2.2205138149881785e-16
149,0.0
150,2.2205138149881785e-16
151,0.0
152,2.2205138149881785e-16
153,0.0
154,2.2205138149881785e-16
155,0.0
156,2.2205138149881785e-16
157,0.0
158,2.2205138149881785e-16
159,0.0
160,2.2205138149881785e-16
161,0.0
162,2.2205138149881785e-16
163,0.0
164,2.2205138149881785e-16
165,0.0
166,2.2205138149881785e-16
167,0.0
168,2.2205138149881785e-16
169,0.0
170,2.2205138149881785e-16
171,0.0
172,2.2205138149881785e-16
173,0.0
174,2.2205138149881785e-16
175,0.0
176,2.2205138149881785e-16
177,0.0
178,2.2205138149881785e-16
179,0.0
180,2.2205138149881785e-16
181,0.0
182,2.2205138149881785e-16
183,0.0
184,2.2205138149881785e-16
185,0.0
186,2.2205138149881785e-16
187,0.0
188,2.2205138149881785e-16
189,0.0
190,2.2205138149881785e-16
191,0.0
192,2.2205138149881785e-16
193,2.2205138149881785e-16
194,2.2205138149881785e-16
195,2.2205138149881785e-16
196,2.2205138149881785e-16
197,2.2205138149881785e-16
198,2.2205138149881785e-16
199,2.2205138149881785e-16
200,2.2205138149881785e-16
201,2.2205138149881785e-16
202,2.2205138149881785e-16
203,2.2205138149881785e-16
204,2.2205138149881785e-16
205,2.2205138149881785e-16
206,2.2205138149881785e-16
207,2.2205138149881785e-16
208,2.2205138149881785e-16
209,2.2205138149881785e-16
210,2.2205138149881785e-16
211,2.2205138149881785e-16
212,2.2205138149881785e-16
213,2.2205138149881785e-16
214,2.2205138149881785e-16
215,2.2205138149881785e-16
216,2.2205138149881785e-16
217,2.2205138149881785e-16
